260,amalġaqchima-,"to be a row, things side by side",,,,,,
261,amaq-,(t) to put a baby on one's back,,,,,,
262,amaqchi-,(i) to put baby on one's back,,,,,,
263,amau,great-grandparent; great-grandchild,,,,,,
264,amaulalaaq,great-grandmother,,,,,,
265,amauligruaq,common eider (Somateria mollissima),,,,,,
266,amauq,great-grandfather,,,,,,
267,amiġaq,"bark, of a tree",,,,,,
268,amiġia-*,"to peel, remove skin of fruit",,,,,,
269,amiġniłhaq*,scab,,,,,,
270,amikłi-,"(i) to become narrow, slender",,,,,,
271,amilli-,"to be come narrow, slender",Amilligaa.,S/he makes it narrower. ,,,,
272,amiq,"skin hide, peel of fruit",,,,,,
273,amit-,"(i) to be narrow, slim, slender; to be thin, of soup or gravy",,,,,,
274,amituurau-,to be narrow,Amituurauruq.,It is narrow. ,,,,
275,amiyaqtuuraruut*,to be very few,,,,,,
276,amu-,(t) to pull out,,,,,,
277,amuchi-,(i) to pull out,,,,,,
278,amuri-,(i) to pull out,,,,,,
279,amutiġuq-,to be bored with nothing to do- nearly claustrophobic,,,,,,
280,anaġvik,"toilet, outhouse",,,,,,
281,anaktaq,"olympic sport, competitive sport",,,,,,
282,anaktaq-,(i) to play competitive games,,,,,,
283,anaktausruk,olympic competition 2 people?,,,,,,
284,anaŋauraq,younger sister,,,,,,
285,anaŋnipaaq,denim,,,,,,
286,anaq,"excrement, feces",,,,,,
287,anaq-,"to excrete, discharge waste from body",,,,,,
288,anaqtuyuuq,raven (Corvus corax),,,,,,
289,anau-,(t) to hit with the arm or something held,,,,,,
290,anaulaq-,"(i, t) to someone or a dog",,,,,,
291,anaulaqti aqsramun,baseball player,,,,,,
292,anauq-,"to crown, hit someone on the head, to hit",,,,,,
293,anauqpak-,to hit (ball) hard,Anauqpakkaa.,S/he hit the ball hard. ,,,,
294,anauqsraq-,"(i) to play kickball, to play soccer",,,,,,
295,anauraġaq-,(t) to play baseball,,,,,,
296,anauraġaqti,baseball player,,,,,,
297,anauraġaun,baseball bat,,,,,,
298,anautaq,"club, wooden stick, baseball bat",,,,,,
299,anauttaq,a piece of stick to hit salmon to kill,,,,,,
